CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/24/2022,16:41,BROOKLYN,11234,40.62877,-73.91825,"(40.62877, -73.91825)",RALPH AVENUE,AVENUE J,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4592542,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,16:21,BRONX,10455,40.81793,-73.9053,"(40.81793, -73.9053)",EAST 156 STREET,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4592709,Sedan,,,,
12/24/2022,12:00,QUEENS,11385,40.71306,-73.90879,"(40.71306, -73.90879)",METROPOLITAN AVENUE,TONSOR STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592862,Station Wagon/Sport Utility Vehicle,Van,,,
12/24/2022,4:30,,,,,,LONG ISLAND EXPRESSWAY,KISSENA BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4592534,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,20:54,QUEENS,11434,40.682568,-73.79266,"(40.682568, -73.79266)",116 AVENUE,SUTPHIN BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4592797,Sedan,Sedan,,,
12/24/2022,0:45,MANHATTAN,10014,40.73938,-74.00995,"(40.73938, -74.00995)",WEST STREET,GANSEVOORT STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4592977,Sedan,Taxi,,,
12/24/2022,0:00,,,40.69168,-73.999344,"(40.69168, -73.999344)",BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4593008,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,19:00,QUEENS,11373,40.73491,-73.88309,"(40.73491, -73.88309)",,,51-79     CODWISE PLACE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4592651,Sedan,,,,
12/24/2022,12:00,,,40.676647,-73.82236,"(40.676647, -73.82236)",ROCKAWAY BOULEVARD,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4593062,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,8:43,BROOKLYN,11211,40.71721,-73.93471,"(40.71721, -73.93471)",VANDERVORT AVENUE,MASPETH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592479,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,15:15,STATEN ISLAND,10305,40.583572,-74.08621,"(40.583572, -74.08621)",,,475       SEAVIEW AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4592926,Sedan,,,,
12/24/2022,0:40,STATEN ISLAND,10301,40.618538,-74.09077,"(40.618538, -74.09077)",,,473       HOWARD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592612,Sedan,,,,
12/24/2022,2:23,,,,,,S/B BOWERY,DOYERS STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4592866,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,4:30,QUEENS,11103,40.760494,-73.917755,"(40.760494, -73.917755)",,,31-29     STEINWAY STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4592740,Sedan,Sedan,,,
12/24/2022,2:30,BROOKLYN,11229,40.59993,-73.94637,"(40.59993, -73.94637)",,,2518      AVENUE U,0,0,0,0,0,0,0,0,Unspecified,,,,,4592906,Sedan,,,,
12/24/2022,9:43,QUEENS,11429,40.711403,-73.7312,"(40.711403, -73.7312)",,,223-17    103 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592490,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:49,,,40.676487,-73.82133,"(40.676487, -73.82133)",ROCKAWAY BOULEVARD,117 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4592847,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,11:15,QUEENS,11372,40.751568,-73.87895,"(40.751568, -73.87895)",,,35-51     88 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,4592552,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,6:00,MANHATTAN,10011,40.74187,-73.997284,"(40.74187, -73.997284)",,,156       7 AVENUE,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4592858,Box Truck,Sedan,,,
